Overall,Points,Value
Adam Thielen ( - WR),0,$0
Anthony Richardson (IND - QB),0,$0
Brandon Aiyuk (SF - WR),0,$0
Brenen Thompson (LAC - WR),0,$0
Bryce Lance (NO - WR),0,$0
Calvin Austin (NYG - WR),0,$0
Chris Brazzell (CAR - WR),0,$0
Cyrus Allen (KC - WR),0,$0
DeAndre Hopkins ( - WR),0,$0
DeMario Douglas (NE - WR),0,$0
Demond Claiborne (MIN - RB),0,$0
Devin Singletary (NYG - RB),0,$0
Efton Chism (NE - WR),0,$0
Eli Raridon (NE - TE),0,$0
Eli Stowers (PHI - TE),0,$0
Elijah Arroyo (SEA - TE),0,$0
Elijah Sarratt (BAL - WR),0,$0
Greg Dortch (DET - WR),0,$0
Isaiah Bond (CLE - WR),0,$0
Jake Tonges (SF - TE),0,$0
Jalen Royals (KC - WR),0,$0
Jarquez Hunter (LAR - RB),0,$0
Jayden Higgins (HOU - WR),0,$0
Joe Mixon ( - RB),0,$0
Kaleb Johnson (PIT - RB),0,$0
Kareem Hunt ( - RB),0,$0
Kaytron Allen (WAS - RB),0,$0
Kendre Miller (NO - RB),0,$0
Kevin Coleman (MIA - WR),0,$0
Kirk Cousins (LV - QB),0,$0
Kyle Williams (NE - WR),0,$0
Malachi Fields (NYG - WR),0,$0
Max Klare (LAR - TE),0,$0
Michael Carter (TEN - RB),0,$0
Michael Penix (ATL - QB),0,$0
Nicholas Singleton (TEN - RB),0,$0
Oscar Delp (NO - TE),0,$0
Savion Williams (GB - WR),0,$0
Shedeur Sanders (CLE - QB),0,$0
Skyler Bell (BUF - WR),0,$0
Tahj Brooks (CIN - RB),0,$0
Tez Johnson (TB - WR),0,$0
Ty Simpson (LAR - QB),0,$0
Tyreek Hill ( - WR),0,$0
Zach Ertz ( - TE),0,$0
Zavion Thomas (CHI - WR),0,$0
