#,Overall,Points,Value
1,Jahmyr Gibbs (DET - RB),149,$149
2,Puka Nacua (LAR - WR)DTD,148,$148
3,Ja'Marr Chase (CIN - WR)DTD,143,$143
4,Jaxon Smith-Njigba (SEA - WR),140,$140
5,Bijan Robinson (ATL - RB),137,$137
6,Amon-Ra St. Brown (DET - WR),132,$132
7,Christian McCaffrey (SF - RB),123,$123
8,Jonathan Taylor (IND - RB),118,$118
9,Drake London (ATL - WR),104,$104
10,Derrick Henry (BAL - RB),103,$103
11,CeeDee Lamb (DAL - WR),102,$102
12,Justin Jefferson (MIN - WR),101,$101
13,De'Von Achane (MIA - RB),100,$100
14,Rashee Rice (KC - WR),98,$98
15,James Cook III (BUF - RB),97,$97
16,Chris Olave (NO - WR),93,$93
17,Chase Brown (CIN - RB),92,$92
18,A.J. Brown (NE - WR),92,$92
19,George Pickens (DAL - WR),91,$91
20,Saquon Barkley (PHI - RB),90,$90
21,Nico Collins (HOU - WR),87,$87
22,Kenneth Walker III (KC - RB)DTD,85,$85
23,Ashton Jeanty (LV - RB)DTD,83,$83
24,Zay Flowers (BAL - WR)DTD,83,$83
25,Malik Nabers (NYG - WR)INJ,82,$82
26,Trey McBride (ARI - TE),82,$82
27,Omarion Hampton (LAC - RB),81,$81
28,Jeremiyah Love (ARI - RB)INJ,81,$81
29,Josh Allen (BUF - QB),79,$79
30,Josh Jacobs (GB - RB)DTD,79,$79
31,Garrett Wilson (NYJ - WR),78,$78
32,Kyren Williams (LAR - RB),77,$77
33,Breece Hall (NYJ - RB)INJ,77,$77
34,Brock Bowers (LV - TE),77,$77
35,Tetairoa McMillan (CAR - WR),76,$76
36,DeVonta Smith (PHI - WR),76,$76
37,Emeka Egbuka (TB - WR)INJ,75,$75
38,Javonte Williams (DAL - RB),74,$74
39,Davante Adams (LAR - WR),72,$72
40,Travis Etienne Jr. (NO - RB),71,$71
41,Tee Higgins (CIN - WR),71,$71
42,Cam Skattebo (NYG - RB),70,$70
43,Jameson Williams (DET - WR),70,$70
44,D'Andre Swift (CHI - RB),66,$66
45,Ladd McConkey (LAC - WR),66,$66
46,Quinshon Judkins (CLE - RB),63,$63
47,Bucky Irving (TB - RB),63,$63
48,Terry McLaurin (WAS - WR),62,$62
49,Rome Odunze (CHI - WR),61,$61
50,DJ Moore (BUF - WR),61,$61
51,Jaylen Waddle (DEN - WR),60,$60
52,Luther Burden III (CHI - WR)INJ,59,$59
