Fantasy_Pros,RookieValue,Rookie,Source,Sleeper,Notes
Jeremiyah Love,80,1,sleeper+exact,Jeremiyah Love,
Jadarian Price,45,1,sleeper+exact,Jadarian Price,
Carnell Tate,39,1,sleeper+exact,Carnell Tate,
Jordyn Tyson,33,1,sleeper+exact,Jordyn Tyson,
Makai Lemon,28,1,sleeper+exact,Makai Lemon,
KC Concepcion,19,1,sleeper+exact,KC Concepcion,
Antonio Williams,11,1,sleeper+exact,Antonio Williams,
Denzel Boston,10,1,sleeper+exact,Denzel Boston,
Omar Cooper Jr.,8,1,sleeper+normalized,Omar Cooper,
Germie Bernard,7,1,sleeper+exact,Germie Bernard,
Kaelon Black,5,1,sleeper+exact,Kaelon Black,
Mike Washington Jr.,5,1,sleeper+normalized,Mike Washington,
Adam Randall,3,1,sleeper+exact,Adam Randall,
Ja'Kobi Lane,3,1,sleeper+exact,Ja'Kobi Lane,
Kenyon Sadiq,3,1,sleeper+exact,Kenyon Sadiq,
De'Zhaun Stribling,1,1,sleeper+exact,De'Zhaun Stribling,
Caleb Douglas,0,1,sleeper+exact,Caleb Douglas,
Chris Bell,0,1,sleeper+exact,Chris Bell,
Emmett Johnson,0,1,sleeper+exact,Emmett Johnson,
Fernando Mendoza,0,1,sleeper+exact,Fernando Mendoza,
Jam Miller,0,1,sleeper+exact,Jam Miller,
Jonah Coleman,0,1,sleeper+exact,Jonah Coleman,
Ted Hurst III,0,1,sleeper+normalized,Ted Hurst,
Trey Smack,0,1,sleeper+exact,Trey Smack,
Zachariah Branch,0,1,sleeper+exact,Zachariah Branch,
