Sleeper,Mapped_Name,Suggested_Fantasy_Pros,Suggested_Value,Confidence,Notes
Anthony Landphere,Anthony Landphere,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jimmy Bell,Jimmy Bell,,,,Review and add to rookies file or fp_sleeper_mapping.txt
J.J. Jones,J.J. Jones,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Moose Muhammad,Moose Muhammad,,,,Review and add to rookies file or fp_sleeper_mapping.txt
DeMeer Blankumsee,DeMeer Blankumsee,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Pat Conroy,Pat Conroy,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Hajj-Malik Williams,Hajj-Malik Williams,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Sone Ntoh,Sone Ntoh,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kole Taylor,Kole Taylor,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Eli Wilson,Eli Wilson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Julian Fleming,Julian Fleming,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Dante Wright,Dante Wright,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Qualan Jones,Qualan Jones,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Collin Schlee,Collin Schlee,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Redd Douglas,Redd Douglas,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Justin Lockhart,Justin Lockhart,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Sam Pitz,Sam Pitz,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Reggie Brown,Reggie Brown,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Zakhari Franklin,Zakhari Franklin,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kinkead Dent,Kinkead Dent,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Luke Deal,Luke Deal,,,,Review and add to rookies file or fp_sleeper_mapping.txt
John Hoyland,John Hoyland,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Brett Gabbert,Brett Gabbert,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Montana Lemonious-Craig,Montana Lemonious-Craig,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Elijah Sarratt,Elijah Sarratt,,,,Review and add to rookies file or fp_sleeper_mapping.txt
CJ Daniels,CJ Daniels,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Carson Beck,Carson Beck,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Josh Cuevas,Josh Cuevas,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Ty Simpson,Ty Simpson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
CJ Donaldson,CJ Donaldson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Max Klare,Max Klare,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Chamon Metayer,Chamon Metayer,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jack Endries,Jack Endries,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Dylan Devezin,Dylan Devezin,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Malachi Fields,Malachi Fields,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Nicholas Singleton,Nicholas Singleton,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Drew Allar,Drew Allar,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jalen Moss,Jalen Moss,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kejon Owens,Kejon Owens,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Lake McRee,Lake McRee,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Behren Morton,Behren Morton,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Reggie Virgil,Reggie Virgil,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Nate Boerkircher,Nate Boerkircher,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Le'Veon Moss,Le'Veon Moss,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Cade Klubnik,Cade Klubnik,,,,Review and add to rookies file or fp_sleeper_mapping.txt
O'Mega Blake,O'Mega Blake,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Taylen Green,Taylen Green,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Marlin Klein,Marlin Klein,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Bauer Sharp,Bauer Sharp,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Aaron Anderson,Aaron Anderson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Miller Moss,Miller Moss,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Josh Kattus,Josh Kattus,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Emmanuel Henderson,Emmanuel Henderson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Luke Altmyer,Luke Altmyer,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Dean Connors,Dean Connors,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Eric Rivers,Eric Rivers,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Noah Thomas,Noah Thomas,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Oscar Delp,Oscar Delp,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Zachariah Branch,Zachariah Branch,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Dan Villari,Dan Villari,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Sam Roush,Sam Roush,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Rahsul Faison,Rahsul Faison,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Matt Hibner,Matt Hibner,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jordan Hudson,Jordan Hudson,Jordan Addison,36,0.77,Review and add to rookies file or fp_sleeper_mapping.txt
DT Sheffield,DT Sheffield,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Desmond Reid,Desmond Reid,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Anthony Hankerson,Anthony Hankerson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Malik Benson,Malik Benson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Dae'Quan Wright,Dae'Quan Wright,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Deion Burks,Deion Burks,,,,Review and add to rookies file or fp_sleeper_mapping.txt
C.J. Charleston,C.J. Charleston,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Cole Payton,Cole Payton,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Dane Key,Dane Key,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kevin Coleman,Kevin Coleman,Keon Coleman,0,0.83,Review and add to rookies file or fp_sleeper_mapping.txt
Davon Booth,Davon Booth,,,,Review and add to rookies file or fp_sleeper_mapping.txt
John Michael Gyllenborg,John Michael Gyllenborg,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Vinny Anthony,Vinny Anthony,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Preston Fox,Preston Fox,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jonah Coleman,Jonah Coleman,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Demond Claiborne,Demond Claiborne,,,,Review and add to rookies file or fp_sleeper_mapping.txt
J'Mari Taylor,J'Mari Taylor,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Eli Stowers,Eli Stowers,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Joe Fagnano,Joe Fagnano,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Junior Vandeross,Junior Vandeross,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Lincoln Pare,Lincoln Pare,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Chris Brazzell,Chris Brazzell,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Eric McAlister,Eric McAlister,,,,Review and add to rookies file or fp_sleeper_mapping.txt
DJ Rogers,DJ Rogers,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Trebor Pena,Trebor Pena,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Lance Mason,Lance Mason,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Brenen Thompson,Brenen Thompson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jeff Caldwell,Jeff Caldwell,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Josh Cameron,Josh Cameron,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Justin Joly,Justin Joly,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Michael Trigg,Michael Trigg,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Skyler Bell,Skyler Bell,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Garrett Nussmeier,Garrett Nussmeier,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kaytron Allen,Kaytron Allen,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Carson Towt,Carson Towt,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Tanner Koziol,Tanner Koziol,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Donaven McCulley,Donaven McCulley,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Chase Roberts,Chase Roberts,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Zavion Thomas,Zavion Thomas,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kendrick Law,Kendrick Law,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Cyrus Allen,Cyrus Allen,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Haynes King,Haynes King,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Roman Hemby,Roman Hemby,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Robert Henry,Robert Henry,,,,Review and add to rookies file or fp_sleeper_mapping.txt
