#,Overall,Points,Value
1,Jahmyr Gibbs (DET - RB),147,$147
2,Puka Nacua (LAR - WR)DTD,147,$147
3,Bijan Robinson (ATL - RB),144,$144
4,Ja'Marr Chase (CIN - WR),142,$142
5,Jaxon Smith-Njigba (SEA - WR),137,$137
6,Amon-Ra St. Brown (DET - WR),131,$131
7,Christian McCaffrey (SF - RB)DTD,121,$121
8,Jonathan Taylor (IND - RB),117,$117
9,Drake London (ATL - WR),112,$112
10,Derrick Henry (BAL - RB),101,$101
11,CeeDee Lamb (DAL - WR),101,$101
12,Rashee Rice (KC - WR),101,$101
13,Justin Jefferson (MIN - WR),100,$100
14,De'Von Achane (MIA - RB),98,$98
15,James Cook III (BUF - RB),95,$95
16,Ashton Jeanty (LV - RB),91,$91
17,Chase Brown (CIN - RB),90,$90
18,A.J. Brown (NE - WR),90,$90
19,George Pickens (DAL - WR),90,$90
20,Chris Olave (NO - WR),90,$90
21,Saquon Barkley (PHI - RB),88,$88
22,Nico Collins (HOU - WR),87,$87
23,Kenneth Walker III (KC - RB),83,$83
24,Zay Flowers (BAL - WR)DTD,83,$83
25,Trey McBride (ARI - TE),81,$81
26,Josh Allen (BUF - QB),80,$80
27,Josh Jacobs (GB - RB)DTD,80,$80
28,Breece Hall (NYJ - RB),80,$80
29,Malik Nabers (NYG - WR)DTD,80,$80
30,Omarion Hampton (LAC - RB),79,$79
31,Jeremiyah Love (ARI - RB),78,$78
32,Brock Bowers (LV - TE),78,$78
33,Garrett Wilson (NYJ - WR),76,$76
34,Kyren Williams (LAR - RB),75,$75
35,DeVonta Smith (PHI - WR)DTD,75,$75
36,Tetairoa McMillan (CAR - WR),75,$75
37,Cam Skattebo (NYG - RB),74,$74
38,Emeka Egbuka (TB - WR)DTD,74,$74
39,Javonte Williams (DAL - RB),72,$72
40,Davante Adams (LAR - WR),71,$71
41,Tee Higgins (CIN - WR),70,$70
42,Jameson Williams (DET - WR),69,$69
43,Travis Etienne Jr. (NO - RB),67,$67
44,D'Andre Swift (CHI - RB),65,$65
45,Ladd McConkey (LAC - WR),65,$65
46,Rome Odunze (CHI - WR),65,$65
47,Bucky Irving (TB - RB),63,$63
48,Terry McLaurin (WAS - WR),61,$61
49,Quinshon Judkins (CLE - RB),60,$60
