Sleeper,Fantasy_Pros
Marvin Mims,Marvin Mims Jr.
Irv Smith,Irv Smith Jr.
Travis Etienne,Travis Etienne Jr.
Odell Beckham,Odell Beckham Jr.
Marvin Jones,Marvin Jones Jr.
Kenneth Walker,Kenneth Walker III
Richie James,Richie James Jr.
Brian Robinson,Brian Robinson Jr.
John Metchie,John Metchie III
Jeff Wilson,Jeff WIlson Jr.
Mecole Hardman,Mecole Hardman Jr.
Terrace Marshall,Terrace Marshall Jr.
Michael Pittman,Michael Pittman Jr.
DJ Chark,DJ Chark Jr.
Chris Rodriguez,Chris Rodriguez Jr.
Patrick Mahomes,Patrick Mahomes II
Deebo Samuel,Deebo Samuel Sr.
Gardner Minshew,Gardner Minshew II
Marvin Harrison,Marvin Harrison Jr.
Tyrone Tracy,Tyrone Tracy Jr.
Brian Thomas,Brian Thomas Jr.
Luther Burden, Luther Burden III
